2024-07-29 11:10:43,047 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 11:43:04,647 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,647 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,647 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,648 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,649 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,649 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED name                 OF TYPE xs:string           
2024-07-29 11:43:04,649 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-extensions              ON xs:element           NAMED shipto              
2024-07-29 11:43:04,650 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED shipto              
2024-07-29 11:43:04,650 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED shipto              
2024-07-29 11:43:04,650 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace-documents        ON xs:element           NAMED shipto              
2024-07-29 11:43:04,650 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace-documents-recurs ON xs:element           NAMED shipto              
2024-07-29 11:43:04,651 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Resolving documents for default namespace
2024-07-29 11:43:04,651 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Resolving calling document
2024-07-29 11:43:04,651 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): remove-duplicates ON xs:element           NAMED shipto              
2024-07-29 11:43:04,651 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN remove-duplicates              ON xsl:template         NAMED remove-duplicates   
2024-07-29 11:43:04,652 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED shipto              
2024-07-29 11:43:04,652 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): handle-extensions ON xs:element           NAMED shipto              
2024-07-29 11:43:04,652 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-extensions-forwardee    ON xs:element           NAMED shipto              
2024-07-29 11:43:04,652 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED shipto              
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attribute                      ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-simple-element          ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-primitive-type             ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,653 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:pattern         ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,654 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minLength       ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,655 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:enumeration     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,656 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:whiteSpace      ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,657 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-specifics             ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,658 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-defaults              ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,659 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,659 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,659 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,660 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,660 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,660 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-pattern                    ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:pattern         ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,661 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:length          ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,662 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,663 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,663 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,663 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,663 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,663 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,674 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,675 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minLength       ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,675 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,675 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,675 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:maxLength       ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,676 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,677 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:totalDigits     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,678 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,679 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:attribute         NAMED orderid              OF TYPE xs:string           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-extensions              ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace-documents        ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,680 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace-documents-recurs ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,681 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Resolving documents for default namespace
2024-07-29 11:43:04,681 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Resolving calling document
2024-07-29 11:43:04,681 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): remove-duplicates ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,681 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN remove-duplicates              ON xsl:template         NAMED remove-duplicates   
2024-07-29 11:43:04,682 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,682 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): handle-extensions ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,682 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-extensions-forwardee    ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,682 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED shiporder           
2024-07-29 11:43:04,683 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF XSLT processing completed.
2024-07-29 11:49:01,656 INFO  [org.jboss.system.server.Server] Runtime shutdown hook called, forceHalt: true
2024-07-29 11:49:01,656 INFO  [org.jboss.system.server.Server] JBoss SHUTDOWN: Undeploying all packages
2024-07-29 11:49:01,671 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/swag, warUrl=.../deploy/wc_servlet_swag.war/
2024-07-29 11:49:01,671 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/mais, warUrl=.../deploy/wc_servlet_mais.war/
2024-07-29 11:49:01,671 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/arcgis, warUrl=.../deploy/wc_servlet_arcgis.war/
2024-07-29 11:49:01,687 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/, warUrl=.../deploy/wc_servlet.war/
2024-07-29 11:49:01,703 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/wc_client, warUrl=.../deploy/wc_client.war/
2024-07-29 11:49:01,718 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/soap_srv, warUrl=.../tmp/deploy/tmp2780741276807629411soap_srv-exp.war/
2024-07-29 11:49:02,128 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] undeploy, ctxPath=/jmx-console, warUrl=.../deploy/jmx-console.war/
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.session.SessionInstanceBean ejbName: SessionInstanceBean
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.bankparams.BankParamsBean ejbName: BankParamsBean
2024-07-29 11:49:02,144 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=BankParamsBean,service=EJB3 is not registered
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.dataaccess.DataAccessBean ejbName: DataAccessBean
2024-07-29 11:49:02,144 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=DataAccessBean,service=EJB3 is not registered
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.dbmsclient.DbmsClientBean ejbName: DbmsClientBean
2024-07-29 11:49:02,144 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=DbmsClientBean,service=EJB3 is not registered
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.diagnostics.DiagnosticsBean ejbName: DiagnosticsBean
2024-07-29 11:49:02,144 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=DiagnosticsBean,service=EJB3 is not registered
2024-07-29 11:49:02,144 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.fact.FactSourceBean ejbName: FactSourceBean
2024-07-29 11:49:02,144 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=FactSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.graphic.CommonCacheGraphicSourceBean ejbName: CommonCacheGraphicSourceBean
